,rank,beer_name,brewery,style,alcohol_pct,n_ratings,avg_rating,substyle,general_style,province,prov_id,count
77,78,Twenty Pounder,Driftwood Brewery,IPA - Imperial,9.0,101,4.11,Imperial,IPA,British Columbia,59,25
78,79,Dominus Vobiscum Triple,Microbrasserie Charlevoix,Tripel,9.0,191,4.1,,Tripel,Quebec,24,34
79,80,Thor's Hammer Barley Wine,Central City Brewers + Distillers,Barleywine - English,11.5,155,4.1,English,Barleywine,British Columbia,59,25
80,81,Sovereign Super Saison,Four Winds Brewing Co.,Farmhouse Ale - Saison,8.5,38,4.14,Saison,Farmhouse Ale,British Columbia,59,25
81,82,Life in the Clouds,Collective Arts Brewing,IPA - New England,6.2,468,4.09,New England,IPA,Ontario,35,32
82,83,Apex Predator Double IPA,Apex Predator Brewing,IPA - Imperial,8.2,15,4.22,Imperial,IPA,Alberta,48,6
83,84,Hu Jon Hops,Trailway Brewing Co.,IPA - American,6.5,23,4.17,American,IPA,New Brunswick,13,1
84,85,Play Dead IPA,Yellow Dog Brewing,IPA - American,6.8,91,4.1,American,IPA,British Columbia,59,25
85,86,Pomona,Four Winds Brewing Co.,Wild Ale,5.5,24,4.16,,Wild Ale,British Columbia,59,25
86,87,Dominus Vobiscum Blanche,Microbrasserie Charlevoix,Wheat Beer - Witbier,5.0,160,4.09,Witbier,Wheat Beer,Quebec,24,34
87,88,Belgian Black,Lighthouse Brewing Company,Strong Ale - Belgian Dark,9.0,37,4.13,Belgian Dark,Strong Ale,British Columbia,59,25
88,89,Fahr Away Hefeweizen,Brauerei Fahr,Wheat Beer - Hefeweizen,5.3,20,4.17,Hefeweizen,Wheat Beer,Alberta,48,6
89,90,High Harvest Hemp IPA,Wild Rose Brewery & Taproom,IPA - American,6.5,20,4.17,American,IPA,Alberta,48,6
90,91,Olde Deuteronomy,Alley Kat Brewing Company,Barleywine - American,10.2,117,4.09,American,Barleywine,Alberta,48,6
91,92,Con Leche Horchata Style Milk Stout,Twin Sails Brewing,Stout - Sweet / Milk,7.5,22,4.16,Sweet / Milk,Stout,British Columbia,59,25
92,93,St-Ambroise Oatmeal Stout,McAuslan Brewing,Stout - Oatmeal,5.0,1313,4.07,Oatmeal,Stout,Quebec,24,34
93,94,New England-Style Pale Ale,Blindman Brewing,Pale Ale - American,5.5,30,4.13,American,Pale Ale,Alberta,48,6
94,95,Jelly King - Raspberry And Peach,Bellwoods Brewery,Sour - Fruited Kettle Sour,5.6,18,4.17,Fruited Kettle Sour,Sour,Ontario,35,32
95,96,Little Dog Syndrome,Yellow Dog Brewing,IPA - Imperial,8.2,15,4.19,Imperial,IPA,British Columbia,59,25
96,97,Changeling (Raspberry),Brassneck Brewery,Wild Ale,6.0,25,4.14,,Wild Ale,British Columbia,59,25
97,98,Grande Noirceur,Brasserie Dieu du Ciel!,Stout - Russian Imperial,9.0,462,4.07,Russian Imperial,Stout,Quebec,24,34
98,99,Bounty Hunter,Bellwoods Brewery,Porter - Imperial,10.3,75,4.09,Imperial,Porter,Ontario,35,32
99,100,Dernière Volonté - Brettanomyces,Brasserie Dieu du Ciel!,Strong Ale - Belgian Pale,7.0,53,4.1,Belgian Pale,Strong Ale,Quebec,24,34
